id,City,State,District,Density,Latitude,Longitude,Rating,Number of Reviews
Hospital #53,Kurnool,Andhra Pradesh,Kurnool,284.67,15.44427831,78.49048459,3.2,84
Hospital #54,Kurnool,Andhra Pradesh,Kurnool,284.67,15.47832262,78.47812323,4.2,100
Hospital #55,Kurnool,Andhra Pradesh,Kurnool,284.67,15.49159569,78.46691407,4.7,7615
Hospital #56,Nandyal,Andhra Pradesh,Nandyal,184.032,15.46354793,78.52193416,3.3,59
Hospital #57,Nandyal,Andhra Pradesh,Nandyal,184.032,15.51488965,78.49942339,3.4,25
Hospital #58,Nandyal,Andhra Pradesh,Nandyal,184.032,15.48727483,78.42968668,3.7,232
Hospital #59,Nandyal,Andhra Pradesh,Nandyal,184.032,15.3897566,78.4469496,4.2,24
Hospital #60,Nelamangala,Andhra Pradesh,Bangalore Rural,441,18.1670625,83.4464929,4,73
Hospital #61,Nellore,Andhra Pradesh,Nellore,236,14.41031075,80.00197981,3.5,66
Hospital #62,Nellore,Andhra Pradesh,Nellore,236,14.53060392,79.95286473,3.9,67
Hospital #63,Nellore,Andhra Pradesh,Nellore,236,14.44202393,79.95349572,4.9,105
Hospital #64,Nellore,Andhra Pradesh,Nellore,236,14.41745891,79.92314951,3.9,21
Hospital #65,Nellore,Andhra Pradesh,Nellore,236,14.50004459,79.9452982,4.5,20
Hospital #66,Nellore,Andhra Pradesh,Nellore,236,14.43669263,79.9928042,4.9,13062
Hospital #67,Nellore,Andhra Pradesh,Nellore,236,14.47134923,79.97068964,4.1,90
Hospital #68,Nellore,Andhra Pradesh,Nellore,236,14.45604558,79.98384879,4.7,1845
Hospital #69,Nellore,Andhra Pradesh,Nellore,236,14.13046041,79.88333901,4,151
Hospital #70,Nellore,Andhra Pradesh,Nellore,236,14.37837654,79.98913806,3.6,132
Hospital #71,Nellore,Andhra Pradesh,Nellore,236,14.47063612,79.9735955,4.6,15
Hospital #72,Nellore,Andhra Pradesh,Nellore,236,14.44250165,79.97899558,4.1,229
Hospital #73,Nellore,Andhra Pradesh,Nellore,236,14.42941602,79.99105661,4.1,199
Hospital #74,Nellore,Andhra Pradesh,Nellore,236,14.46007426,80.00368005,3,29
Hospital #75,Nellore,Andhra Pradesh,Nellore,236,14.45578581,79.92091253,4.3,82
Hospital #76,Ongole,Andhra Pradesh,Prakasam,160,15.50592427,80.03080159,3.6,35
Hospital #77,Ongole,Andhra Pradesh,Prakasam,160,15.49734073,80.03480418,4.4,40
Hospital #78,Ongole,Andhra Pradesh,Prakasam,160,15.62257045,79.99142191,3.1,47
Hospital #79,Ongole,Andhra Pradesh,Prakasam,160,15.52099171,80.03092807,4.7,193
Hospital #80,Ongole,Andhra Pradesh,Prakasam,160,15.55669201,80.05001989,3.8,47
Hospital #81,Ongole,Andhra Pradesh,Prakasam,160,15.5121558,80.05025315,3.6,103
Hospital #82,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.70350719,78.54262761,4.3,11
Hospital #83,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.79506132,78.51921982,3.8,33
Hospital #84,Proddutur,Andhra Pradesh,Ysr Kadapa,183.532,14.74529785,78.51729859,3.6,33
Hospital #85,Rajahmundry,Andhra Pradesh,East Godavari,715.46,17.02818188,81.81210308,5,190
Hospital #86,Srikakulam,Andhra Pradesh,Srikakulam,477.34,16.58050426,81.70734519,3.5,26
Hospital #87,Tadepalligudem,Andhra Pradesh,West Godavari,817.3,16.82614432,81.77596877,4,41
Hospital #88,Tanuku,Andhra Pradesh,West Godavari,817.3,16.81579544,81.67974091,3.8,76
Hospital #89,Tanuku,Andhra Pradesh,West Godavari,817.3,16.74619178,81.7246141,4.6,37
Hospital #90,Tanuku,Andhra Pradesh,West Godavari,817.3,16.76279226,81.67061554,4.4,132
Hospital #91,Tirupati,Andhra Pradesh,Tirupati,241.72,13.59549487,79.403128,3.8,102
Hospital #92,Tirupati,Andhra Pradesh,Tirupati,241.72,13.63493934,79.42737863,4.3,1080
Hospital #93,Tirupati,Andhra Pradesh,Tirupati,241.72,13.61666449,79.41373342,4.5,92
Hospital #94,Tirupati,Andhra Pradesh,Tirupati,241.72,13.6213165,79.40268717,4.2,90
Hospital #95,Tirupati,Andhra Pradesh,Tirupati,241.72,13.62676933,79.34083407,4.6,57
Hospital #96,Tirupati,Andhra Pradesh,Tirupati,241.72,13.66473753,79.44644016,4.2,132
Hospital #97,Tirupati,Andhra Pradesh,Tirupati,241.72,13.60818806,79.37998678,3.6,203
Hospital #98,Tirupati,Andhra Pradesh,Tirupati,241.72,13.64046104,79.4445731,4.4,392
Hospital #99,Tirupati,Andhra Pradesh,Tirupati,241.72,13.62933933,79.393827,4.3,1449
Hospital #100,Tirupati,Andhra Pradesh,Tirupati,241.72,13.56122571,79.36541006,4.4,59
Hospital #101,Tirupati,Andhra Pradesh,Tirupati,241.72,13.6397445,79.40858656,3.9,117
Hospital #102,Tirupati,Andhra Pradesh,Tirupati,241.72,13.64181917,79.42144215,4.7,1239
Hospital #103,Tirupati,Andhra Pradesh,Tirupati,241.72,13.63009739,79.45098314,4.9,9953
Hospital #104,Vijayawada,Andhra Pradesh,Krishna,459.602,16.51048515,80.59290772,4.6,2201
Hospital #105,Vijayawada,Andhra Pradesh,Krishna,459.602,16.49317369,80.5834833,4.2,819
Hospital #106,Vijayawada,Andhra Pradesh,Krishna,459.602,16.47325814,80.60520536,4.7,7951
Hospital #107,Vijayawada,Andhra Pradesh,Krishna,459.602,16.49614401,80.58969707,4.8,6594
Hospital #108,Vijayawada,Andhra Pradesh,Krishna,459.602,16.46754327,80.65036148,4.3,96
Hospital #109,Vijayawada,Andhra Pradesh,Krishna,459.602,16.4917347,80.66795145,4.7,4262
Hospital #110,Vijayawada,Andhra Pradesh,Krishna,459.602,16.52561863,80.61319056,3.7,295
Hospital #111,Vijayawada,Andhra Pradesh,Krishna,459.602,16.51998519,80.63033905,3.6,149
Hospital #112,Vijayawada,Andhra Pradesh,Krishna,459.602,16.50271018,80.66426228,4.6,1297
Hospital #113,Vijayawada,Andhra Pradesh,Krishna,459.602,16.5019891,80.62938334,4.5,811
Hospital #114,Vijayawada,Andhra Pradesh,Krishna,459.602,16.39566001,80.53196827,5,1
Hospital #115,Vijayawada,Andhra Pradesh,Krishna,459.602,16.53970301,80.67391464,4.3,1899
Hospital #116,Vijayawada,Andhra Pradesh,Krishna,459.602,16.46347419,80.68094646,3.6,127
Hospital #117,Vijayawada,Andhra Pradesh,Krishna,459.602,16.53852606,80.59906438,3.2,115
Hospital #118,Vijayawada,Andhra Pradesh,Krishna,459.602,16.4908821,80.6069064,4.8,6594
Hospital #119,Vijayawada,Andhra Pradesh,Krishna,459.602,16.50373252,80.64407196,4.5,1609
Hospital #120,Vijayawada,Andhra Pradesh,Krishna,459.602,16.55185947,80.73015999,4,80
Hospital #121,Vijayawada,Andhra Pradesh,Krishna,459.602,16.2250182,80.72225661,3.3,4
Hospital #122,Vijaywada,Andhra Pradesh,Krishna,459.602,16.50637083,80.60547561,4.9,5511
Hospital #123,Vijaywada,Andhra Pradesh,Krishna,459.602,16.57496947,80.53392561,4.5,21
Hospital #124,Vijaywada,Andhra Pradesh,Krishna,459.602,16.5105621,80.69476759,4.7,2035
Hospital #125,Vijaywada,Andhra Pradesh,Krishna,459.602,16.48903268,80.59257625,4,63
Hospital #126,Vijaywada,Andhra Pradesh,Krishna,459.602,16.50184579,80.80125722,3,89
Hospital #127,Vijaywada,Andhra Pradesh,Krishna,459.602,16.52557298,80.62671607,2.9,531
Hospital #128,Vijaywada,Andhra Pradesh,Krishna,459.602,16.65508465,80.77154243,5,1
Hospital #129,Vijaywada,Andhra Pradesh,Krishna,459.602,16.3855567,80.40528361,3.7,3
Hospital #130,Vijaywada,Andhra Pradesh,Krishna,459.602,16.52276375,80.63159672,4.6,70
Hospital #131,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.66782229,83.33556688,4.5,185
Hospital #132,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.91367711,83.57976711,2.9,18
Hospital #133,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72358925,83.30447051,4.1,1893
Hospital #134,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72066451,83.31476181,4.3,739
Hospital #135,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.71257778,83.29666866,4.5,892
Hospital #136,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73562872,83.29119068,3.5,103
Hospital #137,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.58822379,83.23512655,2.9,68
Hospital #138,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72399392,83.28022134,4.8,3804
Hospital #139,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72872304,83.28788096,4.6,4917
Hospital #140,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73096551,83.30607488,4,136
Hospital #141,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.72259156,83.18992755,4.6,19600
Hospital #142,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.77688938,83.1677395,3.1,137
Hospital #143,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.74636751,83.32876869,4.9,5864
Hospital #144,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.67588147,83.33647268,4,262
Hospital #145,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73446603,83.28813623,4.1,1418
Hospital #146,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.6840856,83.19157334,3,141
Hospital #147,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.80116433,83.40645445,3,160
Hospital #148,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.76397891,83.28060405,4.5,2079
Hospital #149,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.91360592,83.36939614,4.3,16
Hospital #150,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.70332332,83.36145203,3.5,144
Hospital #151,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.79576293,83.39529622,4.5,51
Hospital #152,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.69647167,83.27886265,4.2,131
Hospital #153,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.74959757,82.95161317,3.5,16
Hospital #154,Visakhapatnam,Andhra Pradesh,Visakhapatnam,1869.8,17.73840985,83.29692207,4.8,691
Hospital #155,West Godavari,Andhra Pradesh,West Godavari,817.3,16.74532655,81.67832754,4.5,1868
Hospital #156,West Godavari,Andhra Pradesh,West Godavari,817.3,16.47195312,81.67145294,3.4,5
Hospital #157,West Godavari,Andhra Pradesh,West Godavari,817.3,16.49857513,81.72244905,4.1,8
Hospital #158,West Godavari,Andhra Pradesh,West Godavari,817.3,16.39870839,81.71232781,2.3,18
Hospital #159,Dibrugarh,Assam,Dibrugarh,393,26.19908214,91.65079249,4.5,105
Hospital #160,Dibrugarh,Assam,Dibrugarh,393,26.18821048,91.62093076,3.5,6
Hospital #161,Guwahati,Assam,Kamrup Metropolitan,2010,26.21066729,91.67003012,4.8,6491
Hospital #162,Guwahati,Assam,Kamrup Metropolitan,2010,26.18682369,91.73808175,4.9,4024
Hospital #163,Guwahati,Assam,Kamrup Metropolitan,2010,26.15664099,91.75155815,4.8,92
Hospital #164,Darbhanga,Bihar,Darbhanga,1721,26.1364375,85.9057429,3.5,678
Hospital #165,Hajipur,Bihar,Vaishali,1717,25.70958051,85.2009555,4.9,1528
Hospital #166,Muzffarpur,Bihar,Muzaffarpur,1506,26.1168125,85.3946179,4.7,2770
Hospital #167,Patna,Bihar,Patna,1803,25.65126423,85.11740401,3.4,2330
Hospital #168,Patna,Bihar,Patna,1803,25.60800313,85.12506808,4.3,784
Hospital #169,Patna,Bihar,Patna,1803,25.60001775,85.05150795,3.8,6543
Hospital #170,Patna,Bihar,Patna,1803,25.61879339,85.10743282,3,2
Hospital #171,Patna,Bihar,Patna,1803,25.62952383,85.04096092,4.4,1494
Hospital #172,Patna,Bihar,Patna,1803,25.59935026,85.19274189,4.6,11647
Hospital #173,Patna,Bihar,Patna,1803,25.65616877,85.08027292,3.8,370
Hospital #174,Purnea,Bihar,Purnia,1014,25.8744375,87.5344929,3,275
Hospital #175,Chandigarh,Chandigarh,Chandigarh,9258,30.80163927,76.64363555,4.1,182
Hospital #176,Chandigarh,Chandigarh,Chandigarh,9258,30.7255057,76.75911557,4,579
Hospital #177,Chandigarh,Chandigarh,Chandigarh,9258,30.77938068,76.82299072,4.5,1545
Hospital #178,Chandigarh,Chandigarh,Chandigarh,9258,30.61396161,76.75036829,4.5,136
Hospital #179,Raipur,Chattisgarh,Raipur,750,21.21325145,81.65521475,4.9,24035
Hospital #180,Raipur,Chattisgarh,Raipur,750,21.21074136,81.54533043,4,274
Hospital #181,Raipur,Chattisgarh,Raipur,750,21.21549085,81.65093433,4.5,5273
Hospital #182,Raipur,Chattisgarh,Raipur,750,21.26248802,81.60056315,4.6,6846
Hospital #183,Raipur,Chattisgarh,Raipur,750,21.27790312,81.66731604,3.9,1299
Hospital #184,Raipur,Chattisgarh,Raipur,750,21.41905372,81.50919028,2.7,31
Hospital #185,Raipur,Chattisgarh,Raipur,750,21.23458933,81.69071686,4.1,330
Hospital #186,Raipur,Chattisgarh,Raipur,750,21.28430285,81.61279643,4.3,88
Hospital #187,Raipur,Chattisgarh,Raipur,750,21.19676655,81.66533709,4.1,229
Hospital #188,Raipur,Chattisgarh,Raipur,750,21.26590296,81.67824746,3.8,165
Hospital #189,Delhi,Delhi,New Delhi,4057,28.79093331,77.14442236,3.7,489
Hospital #190,Delhi,Delhi,New Delhi,4057,28.71522855,77.43162928,3.9,335
Hospital #191,Delhi,Delhi,New Delhi,4057,28.65185425,77.08379423,4.4,2043
Hospital #192,Delhi,Delhi,New Delhi,4057,28.68844474,77.73664302,2.6,42
Hospital #193,Delhi,Delhi,New Delhi,4057,28.52327935,76.90563919,3.2,271
Hospital #194,Delhi,Delhi,New Delhi,4057,28.62551032,77.28359062,4.7,1623
Hospital #195,Delhi,Delhi,New Delhi,4057,28.77421543,76.90470995,3.4,120
Hospital #196,Delhi,Delhi,New Delhi,4057,28.60937151,77.30262012,4.4,3326
Hospital #197,Delhi,Delhi,New Delhi,4057,28.5712865,77.43245198,3.5,157
Hospital #198,Delhi,Delhi,New Delhi,4057,28.69093445,77.2974187,4.3,872
Hospital #199,Delhi,Delhi,New Delhi,4057,28.57977248,77.08999199,3.6,338
Hospital #200,Delhi,Delhi,New Delhi,4057,28.65225981,77.30133686,3.7,507
Hospital #201,Delhi,Delhi,New Delhi,4057,28.56660559,77.23475914,4.5,604
Hospital #202,Delhi,Delhi,New Delhi,4057,28.62709942,77.04961961,4.3,18742
Hospital #203,Delhi,Delhi,New Delhi,4057,28.76211836,76.61106018,4.2,28
Hospital #204,Delhi,Delhi,New Delhi,4057,29.09771415,76.43014766,2.9,35
Hospital #205,Delhi,Delhi,New Delhi,4057,28.6822358,77.02756848,3.9,1234
Hospital #206,New Delhi,Delhi,New Delhi,4057,28.61031908,77.37699761,4.2,4368
Hospital #207,New Delhi,Delhi,New Delhi,4057,28.62409094,77.28170637,4.4,1458
Hospital #208,New Delhi,Delhi,New Delhi,4057,28.51101423,77.41548596,5,8
Hospital #209,New Delhi,Delhi,New Delhi,4057,28.6705625,77.2136179,1,1
Hospital #210,New Delhi,Delhi,New Delhi,4057,28.77171426,77.12477106,3,467
Hospital #211,New Delhi,Delhi,New Delhi,4057,28.56174477,77.2560512,4.6,15653
Hospital #212,New Delhi,Delhi,New Delhi,4057,28.60295356,77.20535565,3.8,1172
Hospital #213,New Delhi,Delhi,New Delhi,4057,28.62202998,77.10647075,4.2,1487
Hospital #214,New Delhi,Delhi,New Delhi,4057,28.48273535,77.25694591,3.3,223
Hospital #215,New Delhi,Delhi,New Delhi,4057,28.52044912,77.15006813,4,4149
Hospital #216,New Delhi,Delhi,New Delhi,4057,28.561944,77.16192866,4.6,1341
Hospital #217,New Delhi,Delhi,New Delhi,4057,28.55860226,77.17823021,4.3,1272
Hospital #218,New Delhi,Delhi,New Delhi,4057,28.5660433,77.12441724,4.4,6493
Hospital #219,New Delhi,Delhi,New Delhi,4057,28.56297124,77.22875672,4.5,1574
Hospital #220,New Delhi,Delhi,New Delhi,4057,28.65747403,77.19470655,3.5,856
Hospital #221,New Delhi,Delhi,New Delhi,4057,28.60665427,77.12013685,4,392
Hospital #222,New Delhi,Delhi,New Delhi,4057,28.50106345,76.90412689,3.6,51
Hospital #223,New Delhi,Delhi,New Delhi,4057,28.53247115,77.1274497,4,786
Hospital #224,New Delhi,Delhi,New Delhi,4057,28.66980143,77.09926145,3.9,376
Hospital #225,New Delhi,Delhi,New Delhi,4057,28.75369862,77.23592943,3.9,64
Hospital #226,New Delhi,Delhi,New Delhi,4057,28.63765159,77.05371625,4.4,78
Hospital #227,New Delhi,Delhi,New Delhi,4057,28.58407064,76.94872444,4.1,795
Hospital #228,New Delhi,Delhi,New Delhi,4057,28.6577881,77.24360218,3.6,324
Hospital #229,New Delhi,Delhi,New Delhi,4057,28.64207636,77.16068175,4.6,799
Hospital #230,New Delhi,Delhi,New Delhi,4057,28.58478452,77.29313797,4.1,1397
Hospital #231,New Delhi,Delhi,New Delhi,4057,28.75361181,77.39097768,4.5,71
Hospital #232,New Delhi,Delhi,New Delhi,4057,28.61882426,77.2033457,4.6,888
Hospital #233,New Delhi,Delhi,New Delhi,4057,28.49473771,77.20397541,3.8,225
Hospital #234,New Delhi,Delhi,New Delhi,4057,28.54465212,77.47685713,3.2,121
Hospital #235,New Delhi,Delhi,New Delhi,4057,28.90380497,77.30497553,3.3,158
Hospital #236,New Delhi,Delhi,New Delhi,4057,28.61147898,77.23902437,3.7,1390
Hospital #237,New Delhi,Delhi,New Delhi,4057,28.67982901,77.08003716,3.8,76
Hospital #238,New Delhi,Delhi,New Delhi,4057,28.8082061,77.10630609,4.2,68
Hospital #239,New Delhi,Delhi,New Delhi,4057,28.63252628,77.40764901,2.5,8
Hospital #240,New Delhi,Delhi,New Delhi,4057,28.46011974,77.1730102,4.1,229
Hospital #241,New Delhi,Delhi,New Delhi,4057,28.39023119,77.59783697,3.6,39
Hospital #242,New Delhi,Delhi,New Delhi,4057,28.63162841,77.17266317,4.5,1860
Hospital #243,New Delhi,Delhi,New Delhi,4057,28.62119983,77.17173872,3.5,1382
Hospital #244,New Delhi,Delhi,New Delhi,4057,28.63447715,77.36070226,4.5,2080
Hospital #245,New Delhi,Delhi,New Delhi,4057,28.59555259,77.29434822,4.2,78
Hospital #246,New Delhi,Delhi,New Delhi,4057,28.52092687,77.19668506,4.3,1773
Hospital #247,New Delhi,Delhi,New Delhi,4057,28.62969684,77.03032874,4.5,2717
Hospital #248,New Delhi,Delhi,New Delhi,4057,28.72052137,77.05802641,4.1,724
Hospital #249,New Delhi,Delhi,New Delhi,4057,28.90342633,77.07639944,2.5,37
Hospital #250,New Delhi,Delhi,New Delhi,4057,28.69119596,77.09801521,3.9,114
Hospital #251,New Delhi,Delhi,New Delhi,4057,28.57002104,77.00890399,4.1,2330
Hospital #252,New Delhi,Delhi,New Delhi,4057,28.56969232,77.03598029,3.4,179
Hospital #253,New Delhi,Delhi,New Delhi,4057,28.78972219,76.86833175,3.8,139
Hospital #254,New Delhi,Delhi,New Delhi,4057,28.66013611,77.00749611,3.5,389
Hospital #255,New Delhi,Delhi,New Delhi,4057,28.57945385,77.17088808,4.2,384
Hospital #256,New Delhi,Delhi,New Delhi,4057,28.70885607,77.26782015,3.3,690
Hospital #257,New Delhi,Delhi,New Delhi,4057,28.75735363,77.14820642,4.1,594
Hospital #258,New Delhi,Delhi,New Delhi,4057,28.55969945,77.29155986,3.3,106
Hospital #259,New Delhi,Delhi,New Delhi,4057,30.96808258,76.88214814,2.9,4
Hospital #260,New Delhi,Delhi,New Delhi,4057,28.58302925,77.08136392,4.5,395
Hospital #261,New Delhi,Delhi,New Delhi,4057,29.16654043,76.38813937,5,1
Hospital #262,New Delhi,Delhi,New Delhi,4057,28.64868435,77.05677425,4.7,3719
Hospital #263,New Delhi,Delhi,New Delhi,4057,28.62531127,76.96174232,3.4,109
Hospital #264,New Delhi,Delhi,New Delhi,4057,28.56546956,77.13100342,4.3,1773
Hospital #265,New Delhi,Delhi,New Delhi,4057,28.54618344,77.30218138,4.2,3912
Hospital #266,New Delhi,Delhi,New Delhi,4057,28.63746543,77.07995927,3.8,236
Hospital #267,New Delhi,Delhi,New Delhi,4057,28.68987572,77.03919654,4.5,3036
Hospital #268,New Delhi,Delhi,New Delhi,4057,28.61492253,77.04395109,4,1022
Hospital #269,New Delhi,Delhi,New Delhi,4057,28.6646427,77.13960386,4.3,2153
Hospital #270,New Delhi,Delhi,New Delhi,4057,28.75261617,77.37964609,3.1,998
Hospital #271,New Delhi,Delhi,New Delhi,4057,28.58602657,77.38340085,3.7,1085
Hospital #272,New Delhi,Delhi,New Delhi,4057,28.62094419,77.14854843,4,849
Hospital #273,New Delhi,Delhi,New Delhi,4057,28.55318172,76.87011677,3.4,388
Hospital #274,New Delhi,Delhi,New Delhi,4057,28.63970084,77.26448692,4.2,248
Hospital #275,New Delhi,Delhi,New Delhi,4057,28.63782623,76.9841519,4.6,1916
Hospital #276,New Delhi,Delhi,New Delhi,4057,28.54491123,76.95712883,3.9,150
Hospital #277,New Delhi,Delhi,New Delhi,4057,28.57022491,77.25233987,4.4,2588
Hospital #278,New Delhi,Delhi,New Delhi,4057,28.5225061,77.36981737,4.5,71
Hospital #279,New Delhi,Delhi,New Delhi,4057,28.92946383,77.15567626,3.4,212
Hospital #280,New Delhi,Delhi,New Delhi,4057,28.63640038,76.98287471,3.5,423
Hospital #281,New Delhi,Delhi,New Delhi,4057,28.19106302,77.25749308,3.1,104
Hospital #282,New Delhi,Delhi,New Delhi,4057,28.66450927,77.05752751,3.4,156
Hospital #283,New Delhi,Delhi,New Delhi,4057,28.63853288,77.11742812,4.4,250
Hospital #284,New Delhi,Delhi,New Delhi,4057,28.64925265,77.22045164,4.8,6776
Hospital #285,New Delhi,Delhi,New Delhi,4057,28.59769538,77.10726276,4.6,2924
